"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"393","Carl Holst",12135,"Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","venstre","Sydjyllands "," Esbjerg omegn"," Ukendt"," Regionsrådsformand "," 6630 Rødding"," Mand "," Nej ","Alle","5",18851,"1K",""
"394","Peter Jørgensen",1201,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","venstre","Sydjyllands "," Fredericia"," Ukendt"," HA-almen "," 6400 Sønderborg"," Mand "," Nej ","Alle","10",1994,"","6"
"395","Jesper Juul Larsen",1637,"Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","venstre","Sydjyllands "," Esbjerg by"," Ukendt"," Formand "," 6710 Esbjerg V"," Mand "," Nej ","Alle","4",2759,"","5"
"396","Susanne Linnet",2201,"Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","venstre","Sydjyllands "," Tønder"," Ukendt"," Sygeplejerske "," 6270 Tønder"," Kvinde "," Nej ","Alle","3",2873,"","4"
"397","Anni Matthiesen",8197,"Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","venstre","Sydjyllands "," Vejen"," 51"," Koordinator "," 7200 Grindsted"," Kvinde "," Ja ","Alle","7",11274,"5K",""
"398","Karl Plougstrup-Petersen",473,"Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Hverken enig eller uenig","venstre","Sydjyllands "," Vejle syd"," 38"," Viceskoleleder "," 7184 Vandel"," Mand "," Nej ","Alle","9",761,"","7"
"399","Hans Christian Schmidt",8348,"Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","venstre","Sydjyllands "," Haderslev"," 62"," Fhv. minister "," 6500 Vojens"," Mand "," Ja ","Alle","13",11442,"4K",""
"400","Hans Christian Thoning",6806,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","venstre","Sydjyllands "," Varde"," 63"," MF "," 6840 Oksbøl"," Mand "," Ja ","Alle","6",9001,"","1"
"401","Henning Hyllested",3221,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sydjyllands "," Esbjerg by, Tønder"," 61"," Havnearbejder "," 6700 Esbjerg"," Mand "," Ja ","3. 4.","1 ",5939,"1K",""
"402","Helge Bo Jensen",166,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sydjyllands "," Ukendt"," 56"," Adm. Leder "," 2620 Albertslund"," Mand "," Ja ","11.","2 ",1229,"","1"
"403","Rasmus Slot",200,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sydjyllands "," Vejle syd"," Ukendt"," Studerende "," 9000 Aalborg"," Mand "," Nej ","9.","5 ",1741,"","4"
"404","Cathrine Sund Laursen",544,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig","enhedslisten","Sydjyllands "," Esbjerg omegn"," Ukendt"," Pædagog "," 6700 Esbjerg"," Kvinde "," Nej ","5.","6 ",1685,"","5"
"405","Benny Dall",232,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Sydjyllands "," Kolding syd, 8"," Ukendt"," Selvstændig "," 6000 Kolding"," Mand "," Nej ","12.","8 ",1267,"","7"
"406","Ole Kaup",163,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","enhedslisten","Sydjyllands "," Fredericia"," Ukendt"," Specialarbejder "," 7000 Fredericia"," Mand "," Nej ","10.","9 ",1697,"","8"
"407","Arne Lindberg Callesen",169,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig","enhedslisten","Sydjyllands "," Varde, 9"," Ukendt"," Lærer "," 6800 Varde"," Mand "," Nej ","6.","10 ",945,"","9"
"408","Kim Hyttel",810,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","alternativet","Sydjyllands "," Ukendt"," 62"," Cand.phil. i musikvidenskab ","  København K"," Mand "," Nej ","Alle","Alle",3648,"","2"
"409","Rune Nielsen Bjerremand",397,"Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Hverken enig eller uenig","alternativet","Sydjyllands "," Vejle Nord"," Ukendt"," Cand.scient i kulturgeografi "," 7321 Gadbjerg"," Mand "," Nej ","Alle","",1819,"","3"
"410","Hans-Jørgen Jagd",196,"Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt enig","Helt uenig","Helt enig","Delvist uenig","alternativet","Sydjyllands "," Ukendt"," 56"," Ukendt "," 7000 Fredericia"," Mand "," Nej ","Alle","",889,"","5"
"411","Jane Knudsen",880,"Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","alternativet","Sydjyllands "," Ukendt"," Ukendt"," Studerende "," 6430 Nordborg"," Kvinde "," Nej ","Alle","",3998,"","1"
"412","Bjarke Charlie Serritslev",263,"Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","alternativet","Sydjyllands "," Ukendt"," Ukendt"," Studerende "," 2300 København S"," Mand "," Nej ","Alle","",1197,"","4"
"413","Nicolai Wammen",21152,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Østjyllands "," Århus syd"," 44"," Forsvarsminister ","  København V"," Mand "," Ja ","Alle","1",37903,"1K",""
"414","Kirsten Brosbøl",10843,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Østjyllands "," Skanderborg"," 37"," Miljøminister ","  København K"," Kvinde "," Ja ","Alle","9",18970,"2K",""
"415","Daniel Toft Jakobsen",4344,"Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig","socialdemokraterne","Østjyllands "," Favrskov"," 36"," Specialkonsulent "," 8723 Løsning"," Mand "," Ja ","Alle","8",8353,"1T",""
"416","Leif Lahn Jensen",7393,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Østjyllands "," Djurs"," 48"," Havnearbejder "," 8500 Grenaa"," Mand "," Ja ","Alle","5",11793,"6K",""
"417","Jens Joel",7191,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Delvist uenig","socialdemokraterne","Østjyllands "," Århus øst"," 37"," Cand.scient.pol. "," 8220 Brabrand, Århus"," Mand "," Ja ","Alle","4",13081,"5K",""
"418","Henrik Dam Kristensen",8109,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Østjyllands "," Horsens"," 58"," Beskæftigelsesminister "," 7200 Grindsted"," Mand "," Ja ","Alle","10",15790,"3K",""
"419","Malte Larsen",3449,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","socialdemokraterne","Østjyllands "," Randers nord"," Ukendt"," Indehaver "," 8920 Randers NV"," Mand "," Nej ","Alle","6",5809,"","1"
"420","Maja Panduro",8672,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Østjyllands "," Randers syd"," 33"," BA.scient.pol. "," 8900 Randers C"," Kvinde "," Ja ","Alle","7",14738,"4K",""
"421","Kim Qvist",1365,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig","socialdemokraterne","Østjyllands "," Århus vest"," 52"," Folkeskolelærer "," 8520 Lystrup"," Mand "," Ja ","Alle","2",2453,"","3"
"422","Christen Sørensen",1779,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialdemokraterne","Østjyllands "," Århus nord"," 70"," Professor "," 2000 Frederiksberg C"," Mand "," Nej ","Alle","3",3234,"","2"
"423","Jakob Lavrsen",420,"Delvist uenig","Helt enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","radikale venstre","Østjyllands "," Århus Nord"," Ukendt"," Gymnasielærer ","  Aarhus C"," Mand "," Nej ","Alle","1",764,"","5"
"424","Liv Holm Andersen",1679,"Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","radikale venstre","Østjyllands "," Århus vest"," 28"," Studerende "," 1428 København K"," Kvinde "," Ja ","Alle","2",3048,"","1"
