"","Navn","Stemmer","Uddannelse","Forebyggelse","Sundhed","Velfærd","Arbejdsmarked_1","Arbejdsmarked_2","Økonomi","Trafik","Ret","Social","Integration","EU","Udvikling","Miljø","Kultur","Parti","Storkreds","Lokalkreds","Alder","Titel","Bopæl","Køn","Valgt_ved_sidste_valg","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Valgt_nr","Stedfor_nr"
"163","Anne-Marie Tørnes Hansen",165,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordsjællands "," Storkredskandidat"," Ukendt"," HR Manager "," 3390 Hundested"," Kvinde "," Nej ","Alle","",240,"","6"
"164","Elisabeth Ildal",506,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordsjællands "," Storkredskandidat"," Ukendt"," cand.jur. "," 2950 Vedbæk"," Kvinde "," Nej ","Alle","",713,"","1"
"165","Jonathan Nielsen",275,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordsjællands "," Storkredskandidat"," Ukendt"," Politisk-økonomisk konsulent "," 3400 Hillerød"," Mand "," Nej ","Alle","",391,"","3"
"166","Niels Westy",379,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Nordsjællands "," Storkredskandidat"," Ukendt"," Underviser "," 3480 Fredensborg"," Mand "," Ja ","Alle","2",545,"","2"
"167","Stig Grenov",1029,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Hverken enig eller uenig","kristendemokraterne","Nordsjællands "," Fredensborg"," 54"," Lærer "," 2970 Hørsholm"," Mand "," Ja ","Alle","Alle",1536,"",""
"168","Andreas Peters-Lehm",62,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","kristendemokraterne","Nordsjællands "," Ukendt"," 41"," Lærer "," 3320 Skævinge"," Mand "," Ja ","Alle","",93,"",""
"169","Glen Madsen",1743,"Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","dansk folkeparti","Nordsjællands "," Helsingør"," 40"," Vagt "," 2970 Hørsholm"," Mand "," Nej ","Alle","1",7166,"","1"
"170","Pia Adelsteen",3179,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","dansk folkeparti","Nordsjællands "," Egedal"," 52"," Selvstændig "," 9550 Mariager"," Kvinde "," Ja ","Alle","5",14057,"2K",""
"171","Marlene Harpsøe",3521,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","dansk folkeparti","Nordsjællands "," Hillerød"," 32"," Kontorassistent "," Ukendt"," Kvinde "," Ja ","Alle","3",15094,"1K",""
"172","Gitte Hemmingsen",1659,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist enig","dansk folkeparti","Nordsjællands "," Frederikssund"," Ukendt"," Byrådsmedlem "," 3300 Frederiksværk"," Kvinde "," Nej ","Alle","4",6699,"","2"
"173","Lucas Hultgren",516,"Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","dansk folkeparti","Nordsjællands "," Fredensborg"," Ukendt"," Jurastuderende "," 2300 København S"," Mand "," Nej ","Alle","2",2239,"","3"
"174","Hans Andersen",5447,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist enig","venstre","Nordsjællands "," Frederikssund"," 41"," Cand.merc.aud. "," 3600 Frederikssund"," Mand "," Ja ","Alle","4",9386,"3K",""
"175","Claus Hjort Frederiksen",8222,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","venstre","Nordsjællands "," Rudersdal"," 68"," Fhv. minister "," 3050 Humlebæk"," Mand "," Ja ","Alle","6",16067,"2K",""
"176","Tinne Borch Jacobsen",1675,"Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","venstre","Nordsjællands "," Fredensborg"," 56"," Kontorchef "," 3480 Fredensborg"," Kvinde "," Nej ","Alle","2",3317,"","2"
"177","Sophie Løhde",11832,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist enig","venstre","Nordsjællands "," Egedal"," 32"," HA.Kom. ","  København K"," Kvinde "," Ja ","Alle","5",22560,"1K",""
"178","Klaus Markussen",2663,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","venstre","Nordsjællands "," Hillerød"," 40"," Cand.scient.pol. "," 3400 Hillerød"," Mand "," Ja ","Alle","3",5049,"","1"
"179","Maria Reumert Gjerding",2287,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Nordsjællands "," Hillerød"," 37"," Miljøpol. medarb. "," Ukendt"," Kvinde "," Ja ","3.","1 ",5167,"1K",""
"180","Helle Osther Friedrichsen",561,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","enhedslisten","Nordsjællands "," Fredensborg"," Ukendt"," Kasserer "," Ukendt"," Kvinde "," Nej ","2.","2 ",2077,"","1"
"181","Torben Kjær",292,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt uenig","enhedslisten","Nordsjællands "," Rudersdal"," Ukendt"," Fhv. landmåler "," 3400 Hillerød"," Mand "," Nej ","6.","4 ",2237,"","3"
"182","Kent Weiss Holst",265,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Nordsjællands "," Frederikssund"," 30"," Studerende "," 3300 Frederiksværk"," Mand "," Nej ","4.","6 ",2987,"","5"
"183","Christian Poll",1622,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Nordsjællands "," Ukendt"," 50"," Kemiingeniør "," 3460 Birkerød"," Mand "," Nej ","Alle","Alle",7452,"1T",""
"184","Michael Macdonald Arnskov",288,"Delvist enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","alternativet","Nordsjællands "," Ukendt"," Ukendt"," M.Sc. & B.Sc. Eng. "," 2840 Holte"," Mand "," Nej ","Alle","",1333,"","2"
"185","Bina Seff",667,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","alternativet","Nordsjællands "," Ukendt"," 59"," Lærer "," 3100 Hornbæk"," Kvinde "," Nej ","Alle","",3078,"","1"
"186","Gert Lassen",0,"Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","uden for folketingsgrupperne","Nordsjællands "," Rudersdal"," Ukendt"," Selvstændig "," 2950 Vedbæk"," Mand "," Nej ","6.","",34,"",""
"187","Lea Wermelin",3951,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Hverken enig eller uenig","socialdemokraterne","Bornholms "," Rønne"," Ukendt"," cand.scient.pol. "," 2200 København N"," Kvinde "," Nej ","Alle","Alle",5599,"1K",""
"188","Claus Larsen-Jensen",1905,"Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","socialdemokraterne","Bornholms "," Aakirkeby"," 62"," Direktør "," 3720 Aakirkeby"," Mand "," Nej ","Alle","",2710,"","1"
"189","Bente Johansen",178,"Delvist uenig","Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","radikale venstre","Bornholms "," Rønne, Aakirkeby"," 62"," Dyrlæge "," 3700 Rønne"," Kvinde "," Ja ","Alle","",427,"","1"
"190","Kirstine van Sabben",214,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","det konservative folkeparti","Bornholms "," Ukendt"," 39"," Malermester "," 3790 Hasle"," Kvinde "," Ja ","Alle","Alle",350,"","1"
"191","Leif Olsen",143,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Bornholms "," Rønne"," 51"," Lektor "," 3770 Allinge"," Mand "," Ja ","Alle","1",336,"","1"
"192","Poul Overlund-Sørensen",76,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Bornholms "," Aakirkeby"," 57"," Konsulent "," 3700 Rønne"," Mand "," Ja ","Alle","2",178,"","3"
"193","Birgitte Kjøller Pedersen",86,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Bornholms "," Storkredskandidat"," Ukendt"," Cand.mag. "," 3770 Allinge"," Kvinde "," Nej ","Alle","",202,"","2"
"194","Per B. Frostholm",182,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig","liberal alliance","Bornholms "," Ukendt"," Ukendt"," Vinhandler "," 3700 Rønne"," Mand "," Nej ","Alle","Alle",501,"","2"
"195","Carl Beck",195,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","liberal alliance","Bornholms "," Ukendt"," Ukendt"," Direktør "," 3730 Nexø"," Mand "," Nej ","Alle","",536,"","1"
"196","Niels Chresten Andersen",217,"Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","kristendemokraterne","Bornholms "," Rønne"," Ukendt"," EU-konsulent "," 3700 Rønne"," Mand "," Nej ","Alle","1",363,"",""
"197","Jørgen Mundt Andersen",246,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist enig","dansk folkeparti","Bornholms "," Rønne"," Ukendt"," Kaptajn "," 4560 Køge"," Mand "," Nej ","Alle","1",587,"","2"
"198","Jess Christian Persson",1911,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","dansk folkeparti","Bornholms "," Aakirkeby"," Ukendt"," Overstyrmand "," 3700 Rønne"," Mand "," Nej ","Alle","2",4581,"","1"
"199","Else Merete Knoop",113,"Delvist enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","venstre","Bornholms "," Storkredskandidat"," 61"," Overlærer "," 3700 Rønne"," Kvinde "," Ja ","Alle","",146,"","2"
"200","Peter Juel Jensen",3676,"Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","venstre","Bornholms "," Rønne"," 49"," Viceskoleinspektør "," 3700 Rønne"," Mand "," Ja ","Alle","",4735,"1K",""
"201","Morten Riis",570,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Bornholms "," Rønne, Aakirkeby"," 39"," Cand. mag. "," 3760 Gudhjem"," Mand "," Ja ","1.","1 ",1244,"","1"
"202","Bo Haxthausen",143,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","enhedslisten","Bornholms "," Rønne, Aakirkeby"," Ukendt"," Chauffør "," 3782 Klemensker"," Mand "," Nej ","2.","2 ",931,"","2"
"203","Anne Thomas",591,"Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","alternativet","Bornholms "," Ukendt"," Ukendt"," Selvstændig "," 3720 Aakirkeby"," Kvinde "," Nej ","Alle","",1299,"","1"
"204","Kasper Roug",4257,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sjællands "," Lolland"," Ukendt"," Lektor "," 4930 Maribo"," Mand "," Nej ","Alle","1",7279,"","1"
"205","Tom Block",2822,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sjællands "," Slagelse"," 38"," Overkonstabel "," 4200 Slagelse"," Mand "," Nej ","Alle","12",5408,"","3"
"206","Lennart Damsbo-Andersen",5902,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","socialdemokraterne","Sjællands "," Guldborgsund"," 59"," Tømrer "," 4892 Kettinge"," Mand "," Ja ","Alle","2",9821,"6K",""
"207","Mette Gjerskov",3935,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","socialdemokraterne","Sjællands "," Roskilde"," 49"," Fhv. minister "," 4000 Roskilde"," Kvinde "," Ja ","Alle","8",7465,"1T",""
"208","Jeannie Thorving Hansen",825,"Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sjællands "," Faxe"," 50"," BA.polit. "," 4690 Haslev"," Kvinde "," Ja ","Alle","5",1547,"","4"
"209","Magnus Heunicke",17864,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sjællands "," Næstved"," 40"," Transportminister "," 4700 Næstved"," Mand "," Ja ","Alle","4",27538,"1K",""
"210","Ole Hækkerup",3561,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","socialdemokraterne","Sjællands "," Ringsted"," 44"," BA.scient.pol. "," 2791 Dragør"," Mand "," Ja ","Alle","11",6867,"","2"
"211","Astrid Krag",14898,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sjællands "," Greve"," 33"," Fhv. minister "," 2300 København S"," Kvinde "," Ja ","Alle","7",27520,"2K",""
"212","Rasmus Horn Langhoff",5917,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialdemokraterne","Sjællands "," Kalundborg"," 35"," Historiker "," 2300 København S"," Mand "," Ja ","Alle","10",10650,"5K",""
"213","Henrik Sass Larsen",7201,"Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig","socialdemokraterne","Sjællands "," Køge"," 49"," Erhvervs- og vækstminister ","  København K"," Mand "," Ja ","Alle","6",13474,"4K",""
"214","Pernille Rosenkrantz-Theil",12071,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","socialdemokraterne","Sjællands "," Vordingborg"," 38"," Ledelseskonsulent ","  Frederiksberg"," Kvinde "," Ja ","Alle","3",21121,"3K",""
"215","Troels Brandt",310,"Helt uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","radikale venstre","Sjællands "," Slagelse"," Ukendt"," Forstander "," 4200 Slagelse"," Mand "," Nej ","Alle","12",569,"","6"
"216","Jan Heidebo",480,"Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Sjællands "," Vordingborg, Ringsted"," 55"," Instruktør "," 4174 Jystrup Midtsj"," Mand "," Ja ","Alle","3 11",871,"","3"
"217","Sean Littlewood",187,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Sjællands "," Faxe"," Ukendt"," Lærer "," 4640 Faxe"," Mand "," Nej ","Alle","5",352,"","7"
"218","Rasmus Helveg Petersen",2151,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","radikale venstre","Sjællands "," Køge, Holbæk"," 47"," Klima-, energi og bygningsminister "," 2450 København NV"," Mand "," Ja ","Alle","6 9",3812,"","1"
"219","Zenia Stampe",4564,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","radikale venstre","Sjællands "," Næstved, Roskilde"," 36"," Cand.scient.pol. "," Ukendt"," Kvinde "," Ja ","Alle","4 8",8237,"1T",""
"220","Jeppe Trolle",348,"Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig","radikale venstre","Sjællands "," Greve"," 46"," Underviser "," 4000 Roskilde"," Mand "," Ja ","Alle","7",621,"","4"
"221","Emrah Tuncer",1095,"Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","radikale venstre","Sjællands "," Kalundborg"," Ukendt"," Forstander "," 4300 Holbæk"," Mand "," Nej ","Alle","10",1860,"","2"
"222","Brigitte Klintskov Jerkel",1236,"Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Delvist enig","det konservative folkeparti","Sjællands "," Greve"," 46"," Socialrådgiver "," 2670 Greve"," Kvinde "," Ja ","Alle","7",2013,"","1"
"223","Rune Kristensen",567,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","det konservative folkeparti","Sjællands "," Guldborgsund, Slagelse"," 33"," cand.scient.pol. "," 1151 København K"," Mand "," Ja ","Alle","2 12",879,"","5"
"224","Brian Mikkelsen",4398,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","det konservative folkeparti","Sjællands "," Holbæk, Kalundborg"," 49"," Fhv. minister "," 2900 Hellerup"," Mand "," Ja ","Alle","9 10 11",7044,"1T",""
"225","Flemming Stenild",607,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Sjællands "," Lolland"," 69"," Pensionist "," 4880 Nysted"," Mand "," Ja ","Alle","1",1333,"","4"
"226","Meta Fuglsang",1079,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","socialistisk folkeparti","Sjællands "," Slagelse"," 55"," Konsulent "," 4760 Vordingborg"," Kvinde "," Ja ","Alle","12",2830,"","2"
"227","Ulla Birk Johansen",465,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Sjællands "," Vordingborg"," Ukendt"," Kredsnæstformand "," 4720 Præstø"," Kvinde "," Nej ","Alle","3",1037,"","6"
"228","Annemette Schønberg Johnsen",304,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","socialistisk folkeparti","Sjællands "," Guldborgsund"," Ukendt"," Bibliotekar "," 4800 Nykøbing F"," Kvinde "," Nej ","Alle","2",750,"","8"
"229","Hans Kristiansen",131,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Sjællands "," Greve"," Ukendt"," Pensionist "," 2690 Karlslunde"," Mand "," Nej ","Alle","7",388,"","11"
"230","Trine Mach",942,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig","socialistisk folkeparti","Sjællands "," Næstved"," 46"," Programleder "," 2200 København N"," Kvinde "," Ja ","Alle","4",2304,"","3"
