"","Navn","Opstillet i kreds nr.","Nomineret i kreds nr.","Stemmer_Ialt","Stemmer_pers","Valgt_nr","Stedfor_nr"
"592","Jens Ejner Christensen","Alle","8",8455,5150,"","2"
"593","Peter Christensen","Alle","2",7381,5133,"","3"
"594","Eva Kjer Hansen","Alle","12",12342,7647,"3K",""
"595","Lennarth Hansen","Alle","11",171,101,"","8"
"596","Carl Holst","Alle","5",18851,12135,"1K",""
"597","Peter Jørgensen","Alle","10",1994,1201,"","6"
"598","Jesper Juul Larsen","Alle","4",2759,1637,"","5"
"599","Susanne Linnet","Alle","3",2873,2201,"","4"
"600","Anni Matthiesen","Alle","7",11274,8197,"5K",""
"601","Ellen Trane Nørby","Alle","1",17179,12012,"2K",""
"602","Karl Plougstrup-Petersen","Alle","9",761,473,"","7"
"603","Hans Christian Schmidt","Alle","13",11442,8348,"4K",""
"604","Hans Christian Thoning","Alle","6",9001,6806,"","1"
"605","Kim Andersen","Alle","9",8795,4656,"","2"
"606","Britt Bager","Alle","8",13820,7306,"2K",""
"607","Gert Bjerregaard","Alle","4",4767,2251,"","4"
"608","Anders Buhl-Christensen","Alle","6",4108,2522,"","5"
"609","Anne-Mette Winther Christiansen","Alle","5",6361,3796,"","3"
"610","Jakob Ellemann-Jensen","Alle","1",17625,8678,"1K",""
"611","Michael Aastrup Jensen","Alle","7",10995,6849,"3K",""
"612","Troels Lund Poulsen","Alle","11",9634,5031,"4K",""
"613","Ejnar Schultz","Alle","3",1444,693,"","7"
"614","Finn Thranum","Alle","2",3647,1868,"","6"
"615","Fatma Øktem","Alle","10",9332,4379,"","1"
"616","Marianne Bredal","Alle","10",2470,2013,"","3"
"617","Thomas Danielsen","Alle","1",10850,8922,"4K",""
"618","Nicolaj Dupont-Mersing","Alle","8",644,503,"","4"
"619","Bent Jensen","Alle","6",324,242,"","5"
"620","Kristian Jensen","Alle","9",17728,14028,"2K",""
"621","Carsten Kissmeyer","Alle","7",5823,4567,"","2"
"622","Esben Lunde Larsen","Alle","11",12831,10834,"3K",""
"623","Kristian Pihl Lorentzen","Alle","4",10142,7768,"5K",""
"624","Charlotte Rosenberg","Alle","3",195,152,"","6"
"625","Mads Rørvig","Alle","5",8150,5905,"","1"
"626","Inger Støjberg","Alle","2",20380,16356,"1K",""
"627","Kristian Andersen","Alle","7",1392,1042,"","5"
"628","Per Bisgaard","Alle","5",2745,2106,"","2"
"629","Mogens Brag","Alle","1",1620,1248,"","4"
"630","Anders Broholm","Alle","3",7342,5693,"","1"
"631","Søren Gade","Alle","8",37804,28916,"1K",""
"632","Preben Bang Henriksen","Alle","9",13896,10531,"2K",""
"633","Karsten Lauritzen","Alle","2",10507,8114,"3K",""
"634","Mariann Nørgaard","Alle","6",2644,1927,"","3"
"635","Torsten Schack Pedersen","Alle","4",7974,6706,"4K",""
"636","Johanne Schmidt-Nielsen","5.","1 ",44405,40425,"1K",""
"637","Finn Sørensen","2.","2 ",2862,998,"2K",""
