"name","party","storkreds","lokalkreds","age","is.male","title","location","elected","votes.pers","votes.all","valgt.nr","stedfor.nr","opstillet.i.kreds.nr","nomineret.i.kreds.nr","ran.last.election","UDDANNELSE__Efter.folkeskolereformen.får.eleverne.for.lange.skoledage","FOREBYGGELSE__Afgiften.på.cigaretter.skal.sættes.op","SUNDHED__Et.besøg.hos.den.praktiserende.læge.skal.koste.eksempelvis.100.kr.","VELFÆRD__Mere.af.ældreplejen.skal.udliciteres.til.private.virksomheder","ARBEJDSMARKED__Man.skal.hurtigere.kunne.genoptjene.retten.til.dagpenge","ARBEJDSMARKED__Virksomheder.skal.kunne.drages.til.ansvar.for..om.deres.udenlandske.underleverandører.i.Danmark.overholder.danske.regler.om.løn..moms.og.skat","ØKONOMI__Vækst.i.den.offentlige.sektor.er.vigtigere.end.skattelettelser","TRAFIK__Investeringer.i.kollektiv.trafik.skal.prioriteres.højere.end.investeringer.til.fordel.for.privatbilisme","RET__Straffen.for.grov.vold.og.voldtægt.skal.skærpes","INTEGRATION__Offentlige.institutioner.i.Danmark.tager.for.mange.hensyn.til.religiøse.minoriteter","EU__EU.bestemmer.for.meget.i.forhold.til.dansk.lov","UDVIKLING__Ulandsbistanden.skal.sænkes","KULTUR__Den.offentlige.kulturstøtte.skal.sænkes"
"Andreas Hastrup","i","Sjællands "," Storkredskandidat",56,TRUE," cand.merc. "," 4180 Sorø",FALSE,2144,8966,"","1","Alle","4 6 7",FALSE,"Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig"
"Henrik Boye","i","Sjællands "," Storkredskandidat",50,TRUE," Selvstændig "," 2680 Solrød Strand",FALSE,825,3861,"","2","Alle","",TRUE,"Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Vibeke Hellmann","i","Sjællands "," Storkredskandidat",70,FALSE," Selvstændig "," 4840 Nørre Alslev",FALSE,377,1618,"","5","Alle","",FALSE,"Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Rikke Jakobsen","i","Sjællands "," Storkredskandidat",45,FALSE," Købmand "," 4220 Korsør",FALSE,463,1983,"","4","Alle","",FALSE,"Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Jacob Hellwing","k","Sjællands "," Vordingborg",21,TRUE," Værnepligtig "," 4760 Vordingborg",FALSE,30,98,"","","Alle","3",TRUE,"Helt enig","Helt enig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Egon Jakobsen","k","Sjællands "," Næstved",67,TRUE," Socialpædagog, pensionist "," 4700 Næstved",FALSE,141,463,"","","Alle","4 7 9",FALSE,"Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Per Kristensen","k","Sjællands "," Roskilde",58,TRUE," Civilingeniør "," 4040 Jyllinge",FALSE,59,226,"","","Alle","8",FALSE,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Martin Sørensen","k","Sjællands "," Ringsted",26,TRUE," Efterskolelærer "," 4291 Ruds Vedby",FALSE,57,181,"","","Alle","10 11",TRUE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt enig"
"Eric Steffensen","o","Sjællands "," Lolland",69,TRUE," Udviklingskonsulent "," 4952 Stokkemarke",FALSE,1372,3428,"","3","Alle","1",TRUE,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig"
"Liselott Blixt","o","Sjællands "," Køge",50,FALSE," Social- og sundhedsassistent "," 2670 Greve",TRUE,5981,19248,"2K","","Alle","6",FALSE,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig"
"Henrik Brodersen","o","Sjællands "," Faxe",51,TRUE," VVS-montør "," 4243 Rude",TRUE,2450,7657,"6K","","Alle","5",FALSE,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Gert Poul Christensen","o","Sjællands "," Greve",61,TRUE," Konsulent "," 2670 Greve",FALSE,786,2445,"","5","Alle","7",TRUE,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig"
"René Christensen","o","Sjællands "," Guldborgsund",44,TRUE," Automekaniker "," 4800 Nykøbing F",TRUE,8180,15037,"3K","","Alle","2",FALSE,"Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Søren Espersen","o","Sjællands "," Kalundborg",62,TRUE," Journalist "," 4750 Lundby",TRUE,14482,42873,"1K","","Alle","10",FALSE,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Heino Hahn","o","Sjællands "," Vordingborg",49,TRUE," Viceborgmester "," 4773 Stensved",FALSE,1201,3206,"","4","Alle","3",TRUE,"Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt enig"
"Jeppe Jakobsen","o","Sjællands "," Holbæk",27,TRUE," Bestyrelsesformand ","  Kalundborg",TRUE,2255,6801,"1T","","Alle","9",FALSE,"Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig"
"Merete Dea Larsen","o","Sjællands "," Roskilde",37,FALSE," Farmakonom "," 4000 Roskilde",TRUE,3511,10816,"5K","","Alle","8",FALSE,"Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig"
