"name","party","storkreds","lokalkreds","age","is.male","title","location","elected","votes.pers","votes.all","valgt.nr","stedfor.nr","opstillet.i.kreds.nr","nomineret.i.kreds.nr","ran.last.election","UDDANNELSE__Efter.folkeskolereformen.får.eleverne.for.lange.skoledage","FOREBYGGELSE__Afgiften.på.cigaretter.skal.sættes.op","SUNDHED__Et.besøg.hos.den.praktiserende.læge.skal.koste.eksempelvis.100.kr.","VELFÆRD__Mere.af.ældreplejen.skal.udliciteres.til.private.virksomheder","ARBEJDSMARKED__Man.skal.hurtigere.kunne.genoptjene.retten.til.dagpenge","ARBEJDSMARKED__Virksomheder.skal.kunne.drages.til.ansvar.for..om.deres.udenlandske.underleverandører.i.Danmark.overholder.danske.regler.om.løn..moms.og.skat","ØKONOMI__Vækst.i.den.offentlige.sektor.er.vigtigere.end.skattelettelser","TRAFIK__Investeringer.i.kollektiv.trafik.skal.prioriteres.højere.end.investeringer.til.fordel.for.privatbilisme","RET__Straffen.for.grov.vold.og.voldtægt.skal.skærpes","INTEGRATION__Offentlige.institutioner.i.Danmark.tager.for.mange.hensyn.til.religiøse.minoriteter","EU__EU.bestemmer.for.meget.i.forhold.til.dansk.lov","UDVIKLING__Ulandsbistanden.skal.sænkes","KULTUR__Den.offentlige.kulturstøtte.skal.sænkes"
"Ove Jensen","a","Sydjyllands "," Kolding nord",73,TRUE," Pensionist "," 7000 Fredericia",FALSE,138,267,"","8","Alle","11",FALSE,"Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig"
"Christian Rabjerg Madsen","a","Sydjyllands "," Kolding syd",29,TRUE," Udv.konsulent "," 6000 Kolding",TRUE,5201,9955,"5K","","Alle","12",FALSE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig"
"John Nyborg","a","Sydjyllands "," Fredericia",52,TRUE," Pædagog, Kontorchef i Børne- og ungeafdelingen Fredericia Kommune "," 7000 Fredericia",FALSE,2719,5907,"","3","Alle","10",TRUE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Jesper Petersen","a","Sydjyllands "," Haderslev",34,TRUE," BA.scient.pol. ","  København V",TRUE,6842,12042,"4K","","Alle","13",FALSE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig"
"Troels Ravn","a","Sydjyllands "," Vejen",54,TRUE," Skoleleder "," 6600 Vejen",FALSE,5891,9569,"","1","Alle","7",FALSE,"Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Anne Sina","a","Sydjyllands "," Aabenraa",28,FALSE," Cand.scient.pol. "," 2300 København S",FALSE,4582,8683,"","2","Alle","2",FALSE,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Stephan Kleinschmidt","b","Sydjyllands "," Sønderborg, Tønder",38,TRUE," Politisk rådgiver "," 6400 Sønderborg",FALSE,2819,4504,"","1","Alle","1 3",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Jonna Buch Andersen","b","Sydjyllands "," Varde",55,FALSE," Socialrådgiver "," 6753 Agerbæk",FALSE,326,710,"","3","Alle","6",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Rune Christiansen","b","Sydjyllands "," Fredericia, Kolding nord",38,TRUE," Lektor i historiedidaktik "," 6000 Kolding",FALSE,180,417,"","6","Alle","10 11",TRUE,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Marlene Borst Hansen","b","Sydjyllands "," Kolding syd, Haderslev",41,FALSE," Lærer "," 2500 Valby",FALSE,927,1980,"","2","Alle","12 13",FALSE,"Helt uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Lotte Rod","b","Sydjyllands "," Esbjerg by, Vejle syd",30,FALSE," cand.scient.pol. "," 2300 København S",TRUE,2316,4871,"1T","","Alle","4 9",FALSE,"Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig"
"John Bach Thygesen","b","Sydjyllands "," Esbjerg omegn",55,TRUE," Maskintekniker "," 6870 Ølgod",FALSE,174,386,"","7","Alle","5",TRUE,"Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Mike Legarth","c","Sydjyllands "," Sønderborg",55,TRUE," MF, direktør "," 6580 Vamdrup",FALSE,4031,6994,"","1","Alle","Alle",FALSE,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig"
"Dan Arnløv","c","Sydjyllands "," Esbjerg omegn",40,TRUE," Byrådsmedlem "," 7100 Vejle",FALSE,396,724,"","3","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig"
"Tina Franson Spile","c","Sydjyllands "," Tønder",45,FALSE," Controller "," 6430 Nordborg",FALSE,307,565,"","4","Alle","",TRUE,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Peder Tørnqvist","c","Sydjyllands "," Esbjerg by",54,TRUE," Jobkonsulent "," 6760 Ribe",FALSE,298,507,"","5","Alle","",TRUE,"Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig"
"Dennis Ørsted Petersen","f","Sydjyllands "," Sønderborg",27,TRUE," Faglig konsulent "," 6400 Sønderborg",FALSE,207,537,"","4","Alle","1",TRUE,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig"
"Brian Bruhn","f","Sydjyllands "," Vejle nord",41,TRUE," Tek. Serviceleder "," 7100 Vejle",FALSE,187,441,"","5","Alle","8",FALSE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Ida Damborg","f","Sydjyllands "," Esbjerg by",46,FALSE," Projektleder "," 6000 Kolding",FALSE,905,2259,"","2","Alle","4",FALSE,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig"
"Karina Lorentzen Dehnhardt","f","Sydjyllands "," Kolding syd",41,FALSE," Folkeskolelærer "," 6000 Kolding",FALSE,3169,6908,"","1","Alle","12",FALSE,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Hans Holmer","f","Sydjyllands "," Kolding nord",35,TRUE," Fuldmægtig "," 6000 Kolding",FALSE,165,322,"","9","Alle","11",TRUE,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Claus Larsen","f","Sydjyllands "," Varde",57,TRUE," Faglærer "," 6800 Varde",FALSE,109,281,"","11","Alle","6",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Susanne Mathiesen","f","Sydjyllands "," Vejen",54,FALSE," Centerchef "," 7200 Grindsted",FALSE,383,844,"","3","Alle","7",TRUE,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Delvist enig"
"Ronny Roy Nielsen","f","Sydjyllands "," Vejle syd",36,TRUE," Pædagog "," 7100 Vejle",FALSE,180,428,"","6","Alle","9",TRUE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Rune Bai Nielsen","f","Sydjyllands "," Esbjerg omegn",38,TRUE," Ledig "," 6760 Ribe",FALSE,111,282,"","10","Alle","5",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig"
"Lars Olesen","f","Sydjyllands "," Fredericia",37,TRUE," Folkeskolelærer "," 7000 Fredericia",FALSE,162,382,"","7","Alle","10",TRUE,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Einar Olsen","f","Sydjyllands "," Haderslev",60,TRUE," Efterskolelærer "," 6500 Vojens",FALSE,145,349,"","8","Alle","13",FALSE,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Hans Winther","f","Sydjyllands "," Aabenraa",59,TRUE," Sioleinspektør "," 6000 Kolding",FALSE,111,255,"","12","Alle","2",FALSE,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Mette Bock","i","Sydjyllands "," Storkredskandidat",58,FALSE," MF "," 8700 Horsens",TRUE,11588,23544,"1K","","Alle","1 2 3 4 6 7 8 10 12 13",FALSE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig"
"Sarah Maria Grønbæk","i","Sydjyllands "," Storkredskandidat",48,FALSE," Bygningsingeniør "," 6440 Augustenborg",FALSE,353,708,"","3","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Henrik Dahl","i","Sydjyllands "," Storkredskandidat",55,TRUE," Forfatter "," 4660 Store Heddinge",TRUE,2902,5991,"1T","","Alle","5 9 11",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Malene Ravn Neumann","i","Sydjyllands "," Storkredskandidat",34,FALSE," Socialrådgiver "," 6100 Haderslev",FALSE,371,729,"","2","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Steen Holm Iversen","i","Sydjyllands "," Storkredskandidat",51,TRUE," Major i hæren "," 6800 Varde",FALSE,451,926,"","1","Alle","",TRUE,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Frank Wichmann","i","Sydjyllands "," Storkredskandidat",53,TRUE," Lokomotivfører "," 7000 Fredericia",FALSE,178,405,"","5","Alle","",TRUE,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Jakob Arendt Laursen","i","Sydjyllands "," Storkredskandidat",35,TRUE," Lærerstuderende "," 6700 Esbjerg",FALSE,173,374,"","6","Alle","",TRUE,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Niels Møller Jessen","k","Sydjyllands "," Haderslev, Sønderborg, Tønder",56,TRUE," Kirketjener "," 6500 Vojens",FALSE,297,578,"","","Alle","1 3 13",FALSE,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist enig"
"Knud Erik Hansen","k","Sydjyllands "," Aabenraa",70,TRUE," Fhv. skoleleder "," 6560 Sommersted",FALSE,347,711,"","","Alle","2",FALSE,"Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Jens Schmidt Holm","k","Sydjyllands "," Varde",66,TRUE," Deltidslandmand "," 6870 Ølgod",FALSE,170,389,"","","Alle","5 6",TRUE,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Birgit Jakobsen","k","Sydjyllands "," Vejle syd, Vejle nord",51,FALSE," Folkeskolelærer "," 7100 Vejle",FALSE,473,1032,"","","Alle","8 9",TRUE,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Jan Rytkjær Callesen","o","Sydjyllands "," Sønderborg",52,TRUE," Selvstændig "," 6430 Nordborg",TRUE,2972,5097,"3K","","Alle","1",TRUE,"Hverken enig eller uenig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig"
"Jack Abilslund-Gregersen","o","Sydjyllands "," Esbjerg omegn",33,TRUE," Chauffør "," 6000 Kolding",FALSE,892,1457,"","3","Alle","5",TRUE,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Karina Adsbøl","o","Sydjyllands "," Kolding syd",38,FALSE," Social- og sundhedsassistent "," 6580 Vamdrup",TRUE,3101,4989,"4K","","Alle","12",FALSE,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Kristian Thulesen Dahl","o","Sydjyllands "," Vejle nord",46,TRUE," Cand.merc.jur. "," 7323 Give",TRUE,57371,90724,"1K","","Alle","8",FALSE,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Susanne Eilersen","o","Sydjyllands "," Esbjerg by",51,FALSE," Merkonom "," 7000 Fredericia",TRUE,2421,3940,"6K","","Alle","4",FALSE,"Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig"
"Julie Gottschalk","o","Sydjyllands "," Tønder",22,FALSE," Studerende "," 6800 Varde",FALSE,1555,2585,"","2","Alle","3",TRUE,"Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Kristina Jørgensen","o","Sydjyllands "," Vejen",27,FALSE," Økonom "," 6000 Kolding",FALSE,2185,3494,"","1","Alle","7",TRUE,"Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig"
"Marie Krarup","o","Sydjyllands "," Varde",49,FALSE," Gymnasielærer "," 1774 København V",TRUE,2436,4026,"5K","","Alle","6",FALSE,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig"
"Svend Erik Nielsen","o","Sydjyllands "," Haderslev",59,TRUE," Regnskabschef "," 7182 Bredsted",FALSE,866,1445,"","4","Alle","13",TRUE,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist enig"
"Kenneth Fredslund Petersen","o","Sydjyllands "," Vejle syd",50,TRUE," Tapperiassistent "," 7120 Vejle Øst",FALSE,698,1078,"","5","Alle","9",TRUE,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig"
"Peter Kofod Poulsen","o","Sydjyllands "," Aabenraa",25,TRUE," Lærerstuderende "," 6100 Haderslev",TRUE,3336,5623,"2K","","Alle","2",FALSE,"Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig"
"Jesper Strøm","o","Sydjyllands "," Fredericia",50,TRUE," Kørelærer "," 7000 Fredericia",FALSE,652,1061,"","6","Alle","10",TRUE,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Ellen Trane Nørby","v","Sydjyllands "," Sønderborg",35,FALSE," Ukendt "," 6400 Sønderborg",TRUE,12012,17179,"2K","","Alle","1",FALSE,"Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig"
"Jens Ejner Christensen","v","Sydjyllands "," Vejle nord",47,TRUE," Gårdejer "," 7300 Jelling",FALSE,5150,8455,"","2","Alle","8",FALSE,"Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig"
"Peter Christensen","v","Sydjyllands "," Aabenraa",40,TRUE," Fhv. minister "," 6200 Aabenraa",FALSE,5133,7381,"","3","Alle","2",FALSE,"Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Eva Kjer Hansen","v","Sydjyllands "," Kolding syd",51,FALSE," Formand for Folketingets Europaudvalg, fhv. minister, cand.polit "," 6200 Aabenraa",TRUE,7647,12342,"3K","","Alle","12",FALSE,"Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Delvist enig","Hverken enig eller uenig"
"Carl Holst","v","Sydjyllands "," Esbjerg omegn",45,TRUE," Regionsrådsformand "," 6630 Rødding",TRUE,12135,18851,"1K","","Alle","5",TRUE,"Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt enig"
"Peter Jørgensen","v","Sydjyllands "," Fredericia",50,TRUE," HA-almen "," 6400 Sønderborg",FALSE,1201,1994,"","6","Alle","10",TRUE,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig"
"Jesper Juul Larsen","v","Sydjyllands "," Esbjerg by",58,TRUE," Formand "," 6710 Esbjerg V",FALSE,1637,2759,"","5","Alle","4",TRUE,"Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig"
"Susanne Linnet","v","Sydjyllands "," Tønder",55,FALSE," Sygeplejerske "," 6270 Tønder",FALSE,2201,2873,"","4","Alle","3",TRUE,"Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig"
"Anni Matthiesen","v","Sydjyllands "," Vejen",51,FALSE," Koordinator "," 7200 Grindsted",TRUE,8197,11274,"5K","","Alle","7",FALSE,"Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig"
"Karl Plougstrup-Petersen","v","Sydjyllands "," Vejle syd",38,TRUE," Viceskoleleder "," 7184 Vandel",FALSE,473,761,"","7","Alle","9",TRUE,"Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig"
"Hans Christian Schmidt","v","Sydjyllands "," Haderslev",62,TRUE," Fhv. minister "," 6500 Vojens",TRUE,8348,11442,"4K","","Alle","13",FALSE,"Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig"
"Hans Christian Thoning","v","Sydjyllands "," Varde",63,TRUE," MF "," 6840 Oksbøl",FALSE,6806,9001,"","1","Alle","6",FALSE,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig"
"Henning Hyllested","oe","Sydjyllands "," Esbjerg by, Tønder",61,TRUE," Havnearbejder "," 6700 Esbjerg",TRUE,3221,5939,"1K","","3. 4.","1 ",FALSE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Helge Bo Jensen","oe","Sydjyllands "," Ukendt",56,TRUE," Adm. Leder "," 2620 Albertslund",FALSE,166,1229,"","1","11.","2 ",FALSE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Rasmus Slot","oe","Sydjyllands "," Vejle syd",21,TRUE," Studerende "," 9000 Aalborg",FALSE,200,1741,"","4","9.","5 ",TRUE,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Cathrine Sund Laursen","oe","Sydjyllands "," Esbjerg omegn",26,FALSE," Pædagog "," 6700 Esbjerg",FALSE,544,1685,"","5","5.","6 ",TRUE,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Benny Dall","oe","Sydjyllands "," Kolding syd, 8",59,TRUE," Selvstændig "," 6000 Kolding",FALSE,232,1267,"","7","12.","8 ",TRUE,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Ole Kaup","oe","Sydjyllands "," Fredericia",1,TRUE," Specialarbejder "," 7000 Fredericia",FALSE,163,1697,"","8","10.","9 ",TRUE,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Arne Lindberg Callesen","oe","Sydjyllands "," Varde, 9",56,TRUE," Lærer "," 6800 Varde",FALSE,169,945,"","9","6.","10 ",TRUE,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig"
"Kim Hyttel","aa","Sydjyllands "," Ukendt",62,TRUE," Cand.phil. i musikvidenskab ","  København K",FALSE,810,3648,"","2","Alle","Alle",TRUE,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig"
"Rune Nielsen Bjerremand","aa","Sydjyllands "," Vejle Nord",33,TRUE," Cand.scient i kulturgeografi "," 7321 Gadbjerg",FALSE,397,1819,"","3","Alle","",TRUE,"Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Hans-Jørgen Jagd","aa","Sydjyllands "," Ukendt",56,TRUE," Ukendt "," 7000 Fredericia",FALSE,196,889,"","5","Alle","",TRUE,"Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Helt enig","Helt uenig","Delvist uenig"
