Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Lars Christian Lilleholt,8161,Helt uenig,Delvist uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,Delvist uenig,Delvist enig,venstre,Fyns , Middelfart, 50, Journalist , 5230 Odense M, Mand , Ja 
Anne Katrine Melvig,1820,Helt uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,venstre,Fyns , Nyborg, Ukendt, Konsulent , 2820 Gentofte, Kvinde , Nej 
Ole Filstrup Pedersen,1534,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,venstre,Fyns , Faaborg, Ukendt, Lærer , 5600 Faaborg, Mand , Nej 
Pernille Skipper,11120,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Fyns , Odense Øst, 31, Cand.jur. , Ukendt, Kvinde , Ja 
Rune Lund,530,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Fyns , Middelfart, 39, Konsulent , 2200 København N, Mand , Nej 
Jesper Kiel,604,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Fyns , Svendborg, 49, Organisationssek. , 5700 Svendborg, Mand , Ja 
Vibeke Syppli Enrum,261,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Fyns , Faaborg, 67, Lektor , 5892 Gudbjerg Sydfyn, Kvinde , Ja 
Torsten Ringgård,137,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Fyns , Odense Syd, Ukendt, Driftschef , 5250 Odense SV, Mand , Nej 
Reza Javid,245,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Fyns , Odense Vest, 52, Lektor i Psykologi , 5240 Odense NØ, Mand , Nej 
Malene Rye Andersen,225,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt uenig,Helt enig,Delvist uenig,enhedslisten,Fyns , Assens, Ukendt, Folkeskolelærer , 5631 Ebberup, Kvinde , Nej 
Per Jensen,191,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Hverken enig eller uenig,enhedslisten,Fyns , Nyborg, Ukendt, Pedel , 5800 Nyborg, Mand , Nej 
