Navn,Stemmer,Uddannelse,Forebyggelse,Sundhed,Velfærd,Arbejdsmarked_1,Arbejdsmarked_2,Økonomi,Trafik,Ret,Social,Integration,EU,Udvikling,Miljø,Kultur,Parti,Storkreds,Lokalkreds,Alder,Titel,Bopæl,Køn,Valgt_ved_sidste_valg
Ulla Sandbæk,1233,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns Omegns , Ukendt, 72," Pastor Emeritus, Forhenværende medlem af Eurpa Parlamentet ", 2820 Gentofte, Kvinde , Nej 
Qasam N. Ahmad,786,Helt enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist enig,Delvist uenig,alternativet,Københavns Omegns , Ukendt, Ukendt, cand.merc. , 3300 Frederiksværk, Mand , Nej 
Ryan Lund,328,Helt uenig,Helt enig,Helt uenig,Delvist uenig,Delvist uenig,Helt enig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt enig,Delvist enig,alternativet,Københavns Omegns , Ukendt, 41, cand.techn.soc. , 2870 Dyssegård, Mand , Nej 
Bo Steen Mikkelsen,507,Delvist enig,Helt enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,alternativet,Københavns Omegns , Ukendt, Ukendt, Lærer , 2700 Brønshøj, Mand , Nej 
Anders Stjernholm,1153,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt enig,Hverken enig eller uenig,alternativet,Københavns Omegns , Ukendt, Ukendt, Ukendt ,  Frederiksberg, Mand , Nej 
Christian Olesen,0,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist enig,Delvist uenig,uden for folketingsgrupperne,Københavns Omegns , Brøndby, Ukendt, Projektingeniør , 2605 Brøndby, Mand , Nej 
Pernille Schnoor,3811,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Helt uenig,Delvist uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Nordsjællands , Helsingør, Ukendt, Gymnasielærer , 2970 Hørsholm, Kvinde , Nej 
Christine Antorini,8193,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Nordsjællands , Hillerød, 50, Undervisningsminister , 2200 København N, Kvinde , Ja 
Nick Hækkerup,11546,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,socialdemokraterne,Nordsjællands , Egedal, 47, Minister for sundhed og forebyggelse , 3400 Hillerød, Mand , Ja 
Miki Dam Larsen,1228,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Delvist uenig,Delvist uenig,Delvist uenig,Helt uenig,Helt enig,Delvist uenig,socialdemokraterne,Nordsjællands , Rudersdal, 29, Studerende , 3540 Lynge, Mand , Nej 
Malou Lunderød,3738,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Nordsjællands , Frederikssund, 29, cand.scient.pol. , 2600 Glostrup, Kvinde , Nej 
Camilla Kampmann,352,Helt uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Nordsjællands , Helsingør, Ukendt, Ukendt , 3150 Hellebæk, Kvinde , Nej 
Anne Marie Geisler Andersen,1269,Delvist uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Delvist uenig,radikale venstre,Nordsjællands ," Hillerød, Egedal", 34, Ukendt , 2300 København S, Kvinde , Nej 
Kristian Hegård,968,Delvist enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,radikale venstre,Nordsjællands , Fredensborg, 24, Stud.jur. , 3050 Humlebæk, Mand , Nej 
Martin Lidegård,7671,Helt uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,Delvist uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist uenig,radikale venstre,Nordsjællands , Rudersdal, 48, Udenrigsminister , Ukendt, Mand , Nej 
Helle Løvgreen Mølvig,328,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt uenig,radikale venstre,Nordsjællands , Frederikssund, 52, Lægemiddelkonsulent , 3600 Frederikssund, Kvinde , Ja 
Pernille Vermund,2028,Helt enig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt enig,det konservative folkeparti,Nordsjællands , Helsingør, Ukendt, Selvstændig arkitekt , 3070 Snekkersten, Kvinde , Nej 
Thorkild Gruelund,463,Delvist enig,Delvist enig,Delvist enig,Delvist uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,Helt enig,Delvist uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Helt uenig,det konservative folkeparti,Nordsjællands , Ukendt, Ukendt, Selvstændig , 2970 Hørsholm, Mand , Nej 
Erik Lund,978,Delvist enig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist enig,det konservative folkeparti,Nordsjællands , Ukendt, 67, Pensionist , 3450 Allerød, Mand , Nej 
Mette Abildgård,3206,Helt enig,Delvist uenig,Hverken enig eller uenig,Helt enig,Helt uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Delvist enig,det konservative folkeparti,Nordsjællands ," Egedal, Frederikssund, Rudersdal", 27, PR- og kommunikationsmedarbejder , 2300 København S, Kvinde , Ja 
Mette Thiesen,1657,Helt enig,Delvist uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,det konservative folkeparti,Nordsjællands ," Fredensborg, Hillerød", Ukendt, Folkeskolelærer , Ukendt, Kvinde , Nej 
Bente Borg Donkin,567,Helt uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialistisk folkeparti,Nordsjællands , Helsingør, Ukendt, Handicapkoordinator , 3000 Helsingør, Kvinde , Nej 
Nikolaj Bührmann,334,Hverken enig eller uenig,Delvist enig,Delvist uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,socialistisk folkeparti,Nordsjællands , Storkredskandidat, 40, Dagtilbudsleder , 3450 Allerød, Mand , Nej 
Lars Iversen,170,Hverken enig eller uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Nordsjællands , Fredensborg, Ukendt, Professor , 2970 Hørsholm, Mand , Nej 
Trine Schøning Torp,2494,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Nordsjællands ," Frederikssund, Egedal, Fredensborg", Ukendt," Psykolog, lektor ", 3300 Frederiksværk, Kvinde , Nej 
Teis Volstrup,971,Delvist uenig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,socialistisk folkeparti,Nordsjællands ," Hillerød, Rudersdal", 27, Studievejleder , 2200 København N, Mand , Ja 
Anders Samuelsen,20565,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Nordsjællands , Storkredskandidat, 48, Cand.scient.pol. , 8700 Horsens, Mand , Ja 
Karsten Andersen,198,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Nordsjællands , Storkredskandidat, Ukendt, Direktør , 3250 Gilleleje, Mand , Nej 
May-Britt Buch-Kattrup,639,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,liberal alliance,Nordsjællands , Storkredskandidat, 53, Civiløkonom HD(A) , 2970 Hørsholm, Kvinde , Nej 
Palle Christiansen,211,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Nordsjællands , Storkredskandidat, Ukendt, tandlæge , 3450 Allerød, Mand , Nej 
Anne-Marie Tørnes Hansen,165,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Nordsjællands , Storkredskandidat, Ukendt, HR Manager , 3390 Hundested, Kvinde , Nej 
Tommy Højegård,116,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Nordsjællands , Storkredskandidat, 52, Ukendt , 3660 Stenløse, Mand , Nej 
Elisabeth Ildal,506,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Nordsjællands , Storkredskandidat, Ukendt, cand.jur. , 2950 Vedbæk, Kvinde , Nej 
Jonathan Nielsen,275,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Nordsjællands , Storkredskandidat, Ukendt, Politisk-økonomisk konsulent , 3400 Hillerød, Mand , Nej 
Niels Westy,379,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Nordsjællands , Storkredskandidat, Ukendt, Underviser , 3480 Fredensborg, Mand , Ja 
Stig Grenov,1029,Helt enig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist enig,Delvist enig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt enig,Hverken enig eller uenig,kristendemokraterne,Nordsjællands , Fredensborg, 54, Lærer , 2970 Hørsholm, Mand , Ja 
Andreas Peters-Lehm,62,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist uenig,Helt uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,kristendemokraterne,Nordsjællands , Ukendt, 41, Lærer , 3320 Skævinge, Mand , Ja 
Glen Madsen,1743,Delvist enig,Helt uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist enig,Delvist enig,Helt enig,Helt uenig,Helt uenig,dansk folkeparti,Nordsjællands , Helsingør, 40, Vagt , 2970 Hørsholm, Mand , Nej 
Pia Adelsteen,3179,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Helt enig,Delvist enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Delvist uenig,dansk folkeparti,Nordsjællands , Egedal, 52, Selvstændig , 9550 Mariager, Kvinde , Ja 
Marlene Harpsøe,3521,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Delvist uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Helt enig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt uenig,Hverken enig eller uenig,dansk folkeparti,Nordsjællands , Hillerød, 32, Kontorassistent , Ukendt, Kvinde , Ja 
Gitte Hemmingsen,1659,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt enig,Helt enig,Delvist enig,Delvist enig,dansk folkeparti,Nordsjællands , Frederikssund, Ukendt, Byrådsmedlem , 3300 Frederiksværk, Kvinde , Nej 
Lucas Hultgren,516,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,dansk folkeparti,Nordsjællands , Fredensborg, Ukendt, Jurastuderende , 2300 København S, Mand , Nej 
Jan-Erik Messmann,1888,Delvist uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,dansk folkeparti,Nordsjællands , Rudersdal, Ukendt, Kaptajn , 3460 Birkerød, Mand , Nej 
Søren Hyldgård,1396,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist enig,Delvist uenig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Helt uenig,venstre,Nordsjællands , Helsingør, Ukendt, Konsulent , 3460 Birkerød, Mand , Nej 
Hans Andersen,5447,Helt uenig,Delvist uenig,Delvist uenig,Delvist enig,Delvist enig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Delvist enig,venstre,Nordsjællands , Frederikssund, 41, Cand.merc.aud. , 3600 Frederikssund, Mand , Ja 
Claus Hjort Frederiksen,8222,Helt uenig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Delvist enig,Delvist enig,Delvist enig,Delvist enig,Helt enig,Delvist uenig,Delvist uenig,venstre,Nordsjællands , Rudersdal, 68, Fhv. minister , 3050 Humlebæk, Mand , Ja 
Tinne Borch Jacobsen,1675,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,Delvist uenig,venstre,Nordsjællands , Fredensborg, 56, Kontorchef , 3480 Fredensborg, Kvinde , Nej 
Sophie Løhde,11832,Delvist uenig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Delvist enig,venstre,Nordsjællands , Egedal, 32, HA.Kom. ,  København K, Kvinde , Ja 
Klaus Markussen,2663,Helt uenig,Delvist uenig,Delvist uenig,Delvist enig,Delvist uenig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist uenig,Delvist enig,Helt enig,Delvist uenig,Delvist uenig,venstre,Nordsjællands , Hillerød, 40, Cand.scient.pol. , 3400 Hillerød, Mand , Ja 
Margit Kjeldgård,466,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt enig,Helt uenig,Helt enig,Delvist uenig,enhedslisten,Nordsjællands , Helsingør, 60, Selvstændig , 3000 Helsingør, Kvinde , Ja 
Maria Reumert Gjerding,2287,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Nordsjællands , Hillerød, 37, Miljøpol. medarb. , Ukendt, Kvinde , Ja 
Helle Osther Friedrichsen,561,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Hverken enig eller uenig,enhedslisten,Nordsjællands , Fredensborg, Ukendt, Kasserer , Ukendt, Kvinde , Nej 
Torben Kjær,292,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist uenig,Helt enig,Helt uenig,enhedslisten,Nordsjællands , Rudersdal, Ukendt, Fhv. landmåler , 3400 Hillerød, Mand , Nej 
Kent Weiss Holst,265,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,enhedslisten,Nordsjællands , Frederikssund, 30, Studerende , 3300 Frederiksværk, Mand , Nej 
Christian Poll,1622,Hverken enig eller uenig,Helt enig,Helt uenig,Delvist uenig,Delvist uenig,Delvist enig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,alternativet,Nordsjællands , Ukendt, 50, Kemiingeniør , 3460 Birkerød, Mand , Nej 
Michael Macdonald Arnskov,288,Delvist enig,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Delvist uenig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt enig,Helt uenig,alternativet,Nordsjællands , Ukendt, Ukendt, M.Sc. & B.Sc. Eng. , 2840 Holte, Mand , Nej 
Lasse Elmin Danielsen,238,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt enig,Delvist enig,Delvist enig,Delvist uenig,Delvist enig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,alternativet,Nordsjællands , Ukendt, Ukendt, datanom , 3000 Helsingør, Mand , Nej 
Bina Seff,667,Delvist enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,alternativet,Nordsjællands , Ukendt, 59, Lærer , 3100 Hornbæk, Kvinde , Nej 
Gert Lassen,0,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,uden for folketingsgrupperne,Nordsjællands , Rudersdal, Ukendt, Selvstændig , 2950 Vedbæk, Mand , Nej 
Lea Wermelin,3951,Delvist uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist enig,Hverken enig eller uenig,socialdemokraterne,Bornholms , Rønne, Ukendt, cand.scient.pol. , 2200 København N, Kvinde , Nej 
Lars Bentzon Goldschmidt,264,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Helt uenig,Delvist uenig,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Bornholms , Aakirkeby, 60, Kemiingeniør , 3770 Allinge, Mand , Nej 
Claus Larsen-Jensen,1905,Hverken enig eller uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt uenig,socialdemokraterne,Bornholms , Aakirkeby, 62, Direktør , 3720 Aakirkeby, Mand , Nej 
Bente Johansen,178,Delvist uenig,Helt enig,Helt uenig,Delvist enig,Delvist enig,Helt enig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Helt enig,Helt uenig,radikale venstre,Bornholms ," Rønne, Aakirkeby", 62, Dyrlæge , 3700 Rønne, Kvinde , Ja 
Kirstine van Sabben,214,Helt enig,Helt uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist uenig,Helt enig,Delvist enig,Helt enig,Delvist enig,Helt enig,Hverken enig eller uenig,Delvist enig,det konservative folkeparti,Bornholms , Ukendt, 39, Malermester , 3790 Hasle, Kvinde , Ja 
Ianto Tryfan Davies Gerdes,35,Hverken enig eller uenig,Hverken enig eller uenig,Delvist enig,Delvist enig,Hverken enig eller uenig,Helt enig,Helt uenig,Hverken enig eller uenig,Helt enig,Delvist enig,Hverken enig eller uenig,Delvist uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,det konservative folkeparti,Bornholms , Aakirkeby, Ukendt, Oversergent , 3751 Østermarie, Mand , Nej 
Leif Olsen,143,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Bornholms , Rønne, 51, Lektor , 3770 Allinge, Mand , Ja 
Poul Overlund-Sørensen,76,Helt uenig,Delvist enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist uenig,Helt uenig,Helt uenig,Helt enig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Bornholms , Aakirkeby, 57, Konsulent , 3700 Rønne, Mand , Ja 
Birgitte Kjøller Pedersen,86,Hverken enig eller uenig,Helt enig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt uenig,Hverken enig eller uenig,Delvist enig,Helt uenig,Delvist enig,Helt uenig,socialistisk folkeparti,Bornholms , Storkredskandidat, Ukendt, Cand.mag. , 3770 Allinge, Kvinde , Nej 
Per B. Frostholm,182,Helt enig,Helt uenig,Delvist enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Delvist uenig,Helt enig,Helt enig,Delvist enig,Helt enig,Helt enig,Delvist uenig,Helt enig,liberal alliance,Bornholms , Ukendt, Ukendt, Vinhandler , 3700 Rønne, Mand , Nej 
Carl Beck,195,Helt enig,Helt uenig,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt uenig,Hverken enig eller uenig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,Helt enig,liberal alliance,Bornholms , Ukendt, Ukendt, Direktør , 3730 Nexø, Mand , Nej 
Niels Chresten Andersen,217,Helt enig,Delvist uenig,Helt uenig,Delvist uenig,Helt enig,Hverken enig eller uenig,Hverken enig eller uenig,Helt enig,Hverken enig eller uenig,Helt uenig,Helt uenig,Delvist uenig,Helt uenig,Delvist enig,Hverken enig eller uenig,kristendemokraterne,Bornholms , Rønne, Ukendt, EU-konsulent , 3700 Rønne, Mand , Nej 
Bjarne Hartung Kirkegård,235,Helt enig,Helt enig,Helt uenig,Helt uenig,Helt enig,Helt enig,Delvist uenig,Hverken enig eller uenig,Delvist uenig,Helt uenig,Delvist enig,Delvist enig,Helt uenig,Helt enig,Helt uenig,kristendemokraterne,Bornholms , Aakirkeby, 61, Journalist , 3770 Allinge, Mand , Ja 
Jørgen Mundt Andersen,246,Delvist enig,Helt uenig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Delvist enig,Helt enig,Helt enig,Delvist enig,Delvist enig,dansk folkeparti,Bornholms , Rønne, Ukendt, Kaptajn , 4560 Køge, Mand , Nej 
Jess Christian Persson,1911,Delvist uenig,Delvist enig,Helt uenig,Helt uenig,Delvist enig,Helt enig,Delvist enig,Delvist uenig,Helt enig,Helt enig,Helt enig,Helt enig,Helt enig,Delvist enig,Hverken enig eller uenig,dansk folkeparti,Bornholms , Aakirkeby, Ukendt, Overstyrmand , 3700 Rønne, Mand , Nej 
Else Merete Knoop,113,Delvist enig,Helt enig,Delvist uenig,Delvist enig,Helt enig,Delvist uenig,Delvist enig,Helt uenig,Helt enig,Helt enig,Delvist uenig,Hverken enig eller uenig,Delvist enig,Hverken enig eller uenig,Hverken enig eller uenig,venstre,Bornholms , Storkredskandidat, 61, Overlærer , 3700 Rønne, Kvinde , Ja 
Peter Juel Jensen,3676,Helt uenig,Hverken enig eller uenig,Hverken enig eller uenig,Hverken enig eller uenig,Helt uenig,Helt uenig,Helt uenig,Helt uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,Helt enig,Hverken enig eller uenig,Helt enig,venstre,Bornholms , Rønne, 49, Viceskoleinspektør , 3700 Rønne, Mand , Ja 
