"name","age","party","votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","MILJØ__Indsatsen for at forbedre miljøet skal gå forud for økonomisk vækst","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Erik Lund",67,"c",978,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig"
"Mette Abildgaard",27,"c",3206,"Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig"
"Mette Thiesen",33,"c",1657,"Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Bente Borg Donkin",57,"f",567,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Nikolaj Bührmann",40,"f",334,"Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Lars Iversen",67,"f",170,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Trine Schøning Torp",45,"f",2494,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Teis Volstrup",27,"f",971,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Anders Samuelsen",48,"i",20565,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Karsten Andersen",60,"i",198,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"May-Britt Buch-Kattrup",51,"i",639,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Palle Christiansen",42,"i",211,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Anne-Marie Tørnes Hansen",45,"i",165,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Tommy Højegaard",52,"i",116,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Elisabeth Ildal",55,"i",506,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Jonathan Nielsen",36,"i",275,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Niels Westy",54,"i",379,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Stig Grenov",54,"k",1029,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Andreas Peters-Lehm",40,"k",62,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Glen Madsen",39,"o",1743,"Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig"
"Pia Adelsteen",52,"o",3179,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig"
"Marlene Harpsøe",32,"o",3521,"Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Gitte Hemmingsen",51,"o",1659,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist enig"
"Lucas Hultgren",21,"o",516,"Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig"
"Jan-Erik Messmann",66,"o",1888,"Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Søren Hyldgaard",44,"v",1396,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig"
"Hans Andersen",40,"v",5447,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist enig"
"Claus Hjort Frederiksen",68,"v",8222,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Tinne Borch Jacobsen",56,"v",1675,"Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist uenig"
"Sophie Løhde",32,"v",11832,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist enig"
"Klaus Markussen",40,"v",2663,"Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Delvist uenig"
"Margit Kjeldgaard",60,"oe",466,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Delvist uenig"
"Maria Reumert Gjerding",37,"oe",2287,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Helle Osther Friedrichsen",52,"oe",561,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig"
"Torben Kjær",59,"oe",292,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt uenig"
"Kent Weiss Holst",30,"oe",265,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Christian Poll",50,"aa",1622,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Michael Macdonald Arnskov",59,"aa",288,"Delvist enig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Lasse Elmin Danielsen",53,"aa",238,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Bina Seff",59,"aa",667,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Gert Lassen",51,"1",0,"Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig"
"Lea Wermelin",30,"a",3951,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Lars Bentzon Goldschmidt",60,"a",264,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig"
"Claus Larsen-Jensen",62,"a",1905,"Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Bente Johansen",62,"b",178,"Delvist uenig","Helt enig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Kirstine van Sabben",39,"c",214,"Helt enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Ianto Tryfan Davies Gerdes",33,"c",35,"Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Leif Olsen",51,"f",143,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig"
"Poul Overlund-Sørensen",57,"f",76,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt uenig"
"Birgitte Kjøller Pedersen",53,"f",86,"Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Per B. Frostholm",57,"i",182,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt enig"
"Carl Beck",35,"i",195,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig"
"Niels Chresten Andersen",55,"k",217,"Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Hverken enig eller uenig"
"Bjarne Hartung Kirkegaard",61,"k",235,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Jørgen Mundt Andersen",59,"o",246,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist enig"
"Jess Christian Persson",39,"o",1911,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig"
"Else Merete Knoop",61,"v",113,"Delvist enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Peter Juel Jensen",49,"v",3676,"Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Morten Riis",38,"oe",570,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Bo Haxthausen",58,"oe",143,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt uenig"
"Anne Thomas",46,"aa",591,"Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Helt uenig"
"Kasper Roug",36,"a",4257,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Tom Block",38,"a",2822,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Lennart Damsbo-Andersen",59,"a",5902,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Kaare Dybvad",31,"a",4121,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist uenig"
"Mette Gjerskov",49,"a",3935,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig"
"Jeannie Thorving Hansen",50,"a",825,"Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Magnus Heunicke",40,"a",17864,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Ole Hækkerup",44,"a",3561,"Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig"
"Astrid Krag",32,"a",14898,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Rasmus Horn Langhoff",35,"a",5917,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Henrik Sass Larsen",49,"a",7201,"Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist uenig"
"Pernille Rosenkrantz-Theil",38,"a",12071,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig"
"Henriette Bødevadt",47,"b",302,"Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Troels Brandt",48,"b",310,"Helt uenig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Jan Heidebo",55,"b",480,"Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig"
"Sean Littlewood",52,"b",187,"Delvist uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig"
"Rasmus Helveg Petersen",47,"b",2151,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig"
"Zenia Stampe",36,"b",4564,"Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Jeppe Trolle",46,"b",348,"Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist uenig"
"Emrah Tuncer",37,"b",1095,"Delvist uenig","Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Marie Louise L. M. Friderichsen",46,"c",1405,"Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig"
"Anette Brix Andreasen",52,"c",586,"Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist uenig"
"Brigitte Klintskov Jerkel",46,"c",1236,"Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Delvist enig"
"Rune Kristensen",33,"c",567,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Mikkel Lundemann",26,"c",447,"Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig"
"Brian Mikkelsen",49,"c",4398,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig"
"Christian Wedell-Neergaard",59,"c",934,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Helt uenig"
"Flemming Stenild",69,"f",607,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Tina Boel",55,"f",1293,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Meta Fuglsang",55,"f",1079,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
"Michael Graakjær",55,"f",171,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig"
"Ulla Birk Johansen",50,"f",465,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig"
"Annemette Schønberg Johnsen",56,"f",304,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig"
"Hans Kristiansen",69,"f",131,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig"
"Trine Mach",46,"f",942,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt uenig"
"Jacob Mark",24,"f",2948,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist uenig"
"Ronja Rose Ravnskov",20,"f",428,"Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig"
"Bente Juul Röttig",65,"f",231,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt enig","Helt uenig"
"Dorte Skovgård",56,"f",291,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig"
